DATE,DGS10
1989-02-28,9.32
1989-03-01,9.36
1989-03-02,9.31
1989-03-03,9.31
1989-03-06,9.26
1989-03-07,9.26
1989-03-08,9.23
1989-03-09,9.24
1989-03-10,9.34
1989-03-13,9.35
1989-03-14,9.32
1989-03-15,9.31
1989-03-16,9.30
1989-03-17,9.49
1989-03-20,9.53
1989-03-21,9.53
1989-03-22,9.45
1989-03-23,9.43
1989-03-24,.
1989-03-27,9.44
1989-03-28,9.41
1989-03-29,9.36
1989-03-30,9.34
1989-03-31,9.30
1989-04-03,9.21
1989-04-04,9.17
1989-04-05,9.17
1989-04-06,9.20
1989-04-07,9.27
1989-04-10,9.27
1989-04-11,9.27
1989-04-12,9.29
1989-04-13,9.34
1989-04-14,9.18
1989-04-17,9.20
1989-04-18,9.06
1989-04-19,9.08
1989-04-20,9.20
1989-04-21,9.15
1989-04-24,9.15
1989-04-25,9.12
1989-04-26,9.11
1989-04-27,9.05
1989-04-28,9.02
1989-05-01,9.14
1989-05-02,9.08
1989-05-03,9.06
1989-05-04,9.06
1989-05-05,8.99
1989-05-08,9.04
1989-05-09,9.15
1989-05-10,9.16
1989-05-11,9.10
1989-05-12,8.81
1989-05-15,8.82
1989-05-16,8.82
1989-05-17,8.80
1989-05-18,8.78
1989-05-19,8.71
1989-05-22,8.58
1989-05-23,8.60
1989-05-24,8.63
1989-05-25,8.67
1989-05-26,8.66
1989-05-29,.
1989-05-30,8.64
1989-05-31,8.60
1989-06-01,8.61
1989-06-02,8.43
1989-06-05,8.36
1989-06-06,8.36
1989-06-07,8.27
1989-06-08,8.27
1989-06-09,8.15
1989-06-12,8.16
1989-06-13,8.25
1989-06-14,8.20
1989-06-15,8.33
1989-06-16,8.35
1989-06-19,8.37
1989-06-20,8.31
1989-06-21,8.37
1989-06-22,8.38
1989-06-23,8.25
1989-06-26,8.18
1989-06-27,8.11
1989-06-28,8.17
1989-06-29,8.12
1989-06-30,8.10
1989-07-03,8.09
1989-07-04,.
1989-07-05,8.11
1989-07-06,8.08
1989-07-07,8.02
1989-07-10,7.99
1989-07-11,8.00
1989-07-12,8.00
1989-07-13,8.00
1989-07-14,8.04
1989-07-17,8.05
1989-07-18,8.13
1989-07-19,8.09
1989-07-20,8.01
1989-07-21,8.07
1989-07-24,8.05
1989-07-25,8.01
1989-07-26,8.02
1989-07-27,7.92
1989-07-28,7.87
