Date,Filing,Description
14/11/1995,10-Q,Quarterly Report
24/10/1995,S-3/A,Registration Statement
18/10/1995,S-3,Registration Statement
25/09/1995,DEF 14A,Definitive Proxy Statement
25/09/1995,10-K,Annual Report
18/09/1995,S-3,Registration Statement
12/05/1995,10-Q,Quarterly Report
27/04/1995,S-3,Registration Statement
07/04/1995,S-3/A,Registration Statement
01/03/1995,S-3,Registration Statement
28/02/1995,424B3,Prospectus Filed Pursuant to Rule 424
17/02/1995,S-4/A,Registration Statement
17/02/1995,S-3/A,Registration Statement
14/02/1995,10-Q,Quarterly Report
09/02/1995,S-4,Registration Statement
13/01/1995,S-3,Registration Statement
18/12/1996,S-3MEF,Registration Statement
18/12/1996,424B3,Prospectus Filed Pursuant to Rule 424
17/12/1996,S-3,Registration Statement
16/12/1996,8-A12G,Registration Statement
16/12/1996,S-3/A,Registration Statement
13/12/1996,S-3/A,Registration Statement
02/12/1996,S-3,Registration Statement
22/11/1996,S-8,Registration Statement
22/11/1996,S-8,Registration Statement
14/11/1996,10-Q,Quarterly Report
27/09/1996,DEF 14A,Definitive Proxy Statement
27/09/1996,424B3,Prospectus Filed Pursuant to Rule 424
27/09/1996,10-K,Annual Report
20/09/1996,S-3,Registration Statement
13/09/1996,POS AM,Post-Effective Amendment
28/08/1996,424B3,Prospectus Filed Pursuant to Rule 424
12/08/1996,S-3/A,Registration Statement
12/07/1996,S-3,Registration Statement
27/06/1996,S-3/A,Registration Statement
27/06/1996,S-3/A,Registration Statement
13/06/1996,S-3,Registration Statement
15/05/1996,10-Q,Quarterly Report
09/05/1996,SC 13D,General Statement of Beneficial Ownership
23/04/1996,S-3,Registration Statement
01/03/1996,S-3/A,Registration Statement
23/02/1996,S-3,Registration Statement
22/02/1996,S-3/A,Registration Statement
13/02/1996,10-Q,Quarterly Report
12/02/1996,S-3,Registration Statement
07/02/1996,SC 13G/A,Amended Statement of Beneficial Ownership
30/12/1997,S-3,Registration Statement
29/12/1997,SC 13D,General Statement of Beneficial Ownership
09/12/1997,424B3,Prospectus Filed Pursuant to Rule 424
03/12/1997,S-3,Registration Statement
29/10/1997,10-Q,Quarterly Report
14/10/1997,S-3,Registration Statement
29/09/1997,10-K,Annual Report
26/09/1997,SC 13D,General Statement of Beneficial Ownership
25/09/1997,DEF 14A,Definitive Proxy Statement
22/08/1997,424B3,Prospectus Filed Pursuant to Rule 424
22/07/1997,S-3,Registration Statement
24/06/1997,424B3,Prospectus Filed Pursuant to Rule 424
13/06/1997,S-4/A,Registration Statement
03/06/1997,S-4/A,Registration Statement
15/05/1997,10-Q,Quarterly Report
02/05/1997,S-4,Registration Statement
19/03/1997,S-3,Registration Statement
10/03/1997,POS AM,Post-Effective Amendment
14/02/1997,SC 13G,Statement of Beneficial Ownership
14/02/1997,10-Q,Quarterly Report
14/02/1997,SC 13G,Statement of Beneficial Ownership
14/02/1997,8-A12G/A,Amended Registration Statement
23/12/1998,S-3/A,Registration Statement
16/12/1998,S-3,Registration Statement
12/11/1998,10-Q,Quarterly Report
06/11/1998,SC 13G,Statement of Beneficial Ownership
16/10/1998,S-3,Registration Statement
25/09/1998,10-K,Annual Report
24/09/1998,DEF 14A,Definitive Proxy Statement
26/08/1998,424B3,Prospectus Filed Pursuant to Rule 424
18/08/1998,S-8,Registration Statement
14/08/1998,S-3,Registration Statement
03/06/1998,10-Q/A,Amended Quarterly Report
15/05/1998,10-Q,Quarterly Report
12/05/1998,S-3,Registration Statement
09/03/1998,SC 13G,Statement of Beneficial Ownership
17/02/1998,10-Q,Quarterly Report
13/02/1998,SC 13G,Statement of Beneficial Ownership
10/02/1998,S-3,Registration Statement
06/01/1998,SC 13D/A,Amended General Statement of Beneficial Ownership
30/11/1999,S-8,Registration Statement
05/11/1999,10-Q,Quarterly Report
02/11/1999,424A,Prospectus Filed Pursuant to Rule 424
02/11/1999,S-4,Registration Statement
